#,Subjects,Start date,Close Date
14469,Create new folio ,03-May-21,10-May-21
14465,Order summary page ,03-May-21,06-May-21
14462,Lumpsum image should aligned at right -MAC,03-May-21,08-May-21
14459,"Distributor details not aligned properly for SIP, Lumpsum and cart page - MAC",03-May-21,06-May-21
14407,Basket invest UI - MAC,30-Apr-21,07-May-21
14284,Portfolio details view ,29-Apr-21,06-May-21
14282,Login page ,29-Apr-21,06-May-21
14260,Sip - schedule now icon ,29-Apr-21,06-May-21
14252,start today checkbox ,29-Apr-21,06-May-21
14251,Lumpsum cashflow ,29-Apr-21,06-May-21
14250,Lumpsum cashflow,29-Apr-21,06-May-21
14238,Header menus / hamburger icon  - iPad,28-Apr-21,06-May-21
14237,Spelling should be aligned properly ,28-Apr-21,08-May-21
14236,Need navigation icon for quick links ,28-Apr-21,11-Oct-21
14188,nominee and bank details - iPad,28-Apr-21,12-May-21
14176,Fatca details ,28-Apr-21,15-May-21
14174,Personal detail page ,28-Apr-21,07-May-21
14172,Account statement ,28-Apr-21,07-May-21
14168,Bank summary ipad /tablet ,28-Apr-21,25-Aug-21
14167,Add new bank - iPad / tablet ,28-Apr-21,18-May-21
14166,Capital gain /loss - iPad / tablet ,28-Apr-21,07-May-21
14137,Lumpsum cashflow page -Ipad ,28-Apr-21,14-May-21
14135,SIP page -iPad / tablet ,28-Apr-21,14-May-21
14134,"After folio creation of ZBF , dashboard boxes keeps on loading.",28-Apr-21,11-May-21
14128,Review and checkout page  ipad,28-Apr-21,14-May-21
14041,Not able to enter Distributor Code for Direct Plan and Regular Plan,27-Apr-21,29-Apr-21
14016,Holder name text color,26-Apr-21,15-May-21
14015,Basket invest page ,26-Apr-21,14-May-21
14013,Quick links ,26-Apr-21,06-May-21
14012,Pages  with side menus ,26-Apr-21,06-May-21
14008,Assest allocation graph ,26-Apr-21,14-May-21
14004,Order book ,26-Apr-21,08-May-21
13868,New investor and non kyc investor ,26-Apr-21,07-May-21
13866,Otp error message ,26-Apr-21,06-May-21
13862,Login page for Ipad,26-Apr-21,06-May-21
13799,Not able to proceed for cart page ,23-Apr-21,29-Apr-21
13675,SIP installments ,23-Apr-21,25-Aug-21
13673,Order summary page ,23-Apr-21,
13599,Not able to test on edge app,22-Apr-21,06-May-21
13589,New funds page goes blank ,22-Apr-21,27-Apr-21
13483,Non kyc and KYC  fields not aligned properly in edge app,20-Apr-21,06-May-21
13476,Add bank page not aligned properly for lumpsum,20-Apr-21,06-May-21
13472,Amount text is small for sell,20-Apr-21,06-May-21
13469,Columns for order summary are not aligned properly with expanded side bar ,20-Apr-21,
13466,Sometimes the end of the page is not visible for swp ,20-Apr-21,06-May-21
13463,Transaction type for Cashflow ,20-Apr-21,07-Aug-21
13461,Image for Add money for sell,20-Apr-21,06-May-21
13459,Basket invest - Quick buy pop up,20-Apr-21,26-Apr-21
13458,SIP not aligned properly ,20-Apr-21,06-May-21
13457,Option dropdown is not visible some times ,20-Apr-21,06-May-21
13456,Assest allocation graph for sell,20-Apr-21,06-May-21
13455,Latest activities for lumpsum,20-Apr-21,06-May-21
13454,Folio number is underlined lumpsum,20-Apr-21,06-May-21
13447,Add bank sell,20-Apr-21,06-May-21
13418,order book,19-Apr-21,26-Apr-21
13417,Schedule investment  Stp,19-Apr-21,06-May-21
13414,Calendar dropdown for year is not displayed properly sip ,19-Apr-21,06-May-21
13413,Capital gain /loss sip,19-Apr-21,07-Jul-21
13411,"SIP reports , Capital gain /loss , Account statement not displayed properly ",19-Apr-21,06-May-21
13410,Reports text label is not displayed properly ,19-Apr-21,06-May-21
13403,Reports text label is not displayed properly ,19-Apr-21,
13402,Dropdown size for STP ,19-Apr-21,06-May-21
13397,Proper error message not getting display,19-Apr-21,15-May-21
13389,without entering Overseas address and overseas zip code allow to proceed,19-Apr-21,06-May-21
13368,End date ,19-Apr-21,22-Apr-21
13351,Minor guardian Pan and guardian name Issue,19-Apr-21,27-Apr-21
13343,New funds stp,19-Apr-21,29-Apr-21
13340,Fatca details swp ,19-Apr-21,
13337,Newly created folio is not seen in transaction pages sip ,19-Apr-21,18-May-21
13320,Nav and exit load are not aligned in new funds tab orderbook,19-Apr-21,29-May-21
13319,Dropboxes  in invested funds are overlapping ,19-Apr-21,06-May-21
13316,Amount field ,19-Apr-21,26-Apr-21
13314,All pages are overlapping ,19-Apr-21,06-May-21
13311,Distributor detail section ,19-Apr-21,15-May-21
13309,Payment mode swp,19-Apr-21,26-Apr-21
13308,"Distributor details not aligned properly in lumpsum , SIP and on cart page ",19-Apr-21,06-May-21
13301,Start today checkbox is overlapping with expanded side menu's ,19-Apr-21,15-May-21
13300,Text label sip,19-Apr-21,27-Apr-21
13296,Basket invest ,19-Apr-21,06-May-21
13289,Latest activities ,19-Apr-21,11-May-21
13283,Dashboard contents are overlapping ,19-Apr-21,06-May-21
13279,Nominee details,19-Apr-21,29-Apr-21
13273,Non-kyc pan sell,19-Apr-21,06-May-21
13264,Message displayed on login page is not aligned swp ,19-Apr-21,26-Apr-21
13260,Delete functionality ( review and checkout ),19-Apr-21,15-May-21
13245,Dashboard - Assest allocation,19-Apr-21,
13243,Total gain/loss basket - Dashboard ,19-Apr-21,29-Apr-21
13171,Nominee details page-Address,17-Apr-21,23-Apr-21
12956,Direct Code lumpsum,15-Apr-21,06-May-21
12870,Name As on PAN field accepting dot(.) ,15-Apr-21,
12713,cancelled cheque,14-Apr-21,06-May-21
12701,New funds tab - SIP and Lumpsum,14-Apr-21,20-Apr-21
12700,Direct broker code ,14-Apr-21,15-Apr-21
12699,SIP,14-Apr-21,15-Apr-21
12626,Scheme selection functionality - checkout and review functionality ,12-Apr-21,27-Apr-21
12625,Edit functionality - Review and checkout functionality,12-Apr-21,20-Aug-21
12624,Bank details ,12-Apr-21,15-Apr-21
12623,Bank error message ,12-Apr-21,16-Apr-21
12594,User not able to login in Edge app,12-Apr-21,17-Apr-21
12591,Multicap 35  funds to be renamed as flexi cap ,12-Apr-21,20-Apr-21
12579,Holder name text label displayed is invalid ,12-Apr-21,20-Apr-21
12575,URL to be changed ,12-Apr-21,22-Apr-21
12573,SIP and ISIP option should be displayed as SIP only ,12-Apr-21,07-May-21
12506,For yearly frequency total number of installments getting displayed wrong,09-Apr-21,22-Apr-21
12503,end date display wrong for all frequencies,09-Apr-21,26-Aug-21
12481,Terms and condition - checkout and review functionality ,09-Apr-21,20-Apr-21
12475,Edit functionality - SIP ( checkout and review ) ,09-Apr-21,15-Apr-21
12472,Edit functionality - SIP ( checkout and review ) ,09-Apr-21,26-Apr-21
12469,Edit functionality - SIP ( checkout and review ) ,09-Apr-21,15-Apr-21
12433,Netbanking is displayed as mode of payment for SIP,09-Apr-21,17-Apr-21
12430,Non kyc pan in scheme basket,09-Apr-21,28-Apr-21
12418,Direct and regular plan code displayed is invalid ,08-Apr-21,16-Apr-21
12374,Page loading ,07-Apr-21,17-Apr-21
12349,Apply to scheme button is not working ,07-Apr-21,16-Apr-21
12333,Edit icon - Review and checkout functionality,07-Apr-21,17-Apr-21
12173,Save later functionality ,05-Apr-21,16-Apr-21
12172,Add new broker for sip ,05-Apr-21,
12171,Euin checkbox for swp,05-Apr-21,16-Apr-21
12166,Folio number displayed is invalid stp ,05-Apr-21,14-May-21
12161,SIP,05-Apr-21,28-Apr-21
12142,Distributor details provide no validation ,05-Apr-21,08-May-21
12136,Distributor details icon ( green icon),05-Apr-21,27-Apr-21
12124,Direct ribbon and cart is not displayed for direct plans ,05-Apr-21,16-Apr-21
12123,Holder name and info icon is not displayed in cart ,05-Apr-21,17-Jul-21
12121,Cashflow icon sip ,05-Apr-21,20-Apr-21
12112,UI is not proper swp,05-Apr-21,06-May-21
12073,No error message is displayed on orderbook ,04-Apr-21,09-Apr-21
12072,Cross button / Cancel button,04-Apr-21,09-Apr-21
12071,End date for fortnightly is displayed wrong,04-Apr-21,
12070,Error message displayed is wrong ,04-Apr-21,26-Apr-21
12069,Short blast or sip,04-Apr-21,28-Apr-21
12068,No validation is given for annual - short blast ,04-Apr-21,27-Apr-21
12067,minimum amount should be displayed as 1000 for tenure  as  short blast ,04-Apr-21,09-Apr-21
12066,End date for quarterly short blast is wrong ,04-Apr-21,29-Apr-21
12065,Minimum amount for quarterly frequency should be Rs.1500/-,04-Apr-21,09-Apr-21
12064,Weekly frequency for swp,04-Apr-21,09-Apr-21
12063,Quarterly installments does not match for perpetual ,04-Apr-21,26-Aug-21
12061,Weekly start date and date is  displayed is wrong in case of perpetual ,03-Apr-21,01-Jun-21
12040,Folio numbers are repeated multiple times for lumpsum ,03-Apr-21,28-Apr-21
12016,Number of installments should be allowed to enter manually .,03-Apr-21,09-Apr-21
12015,By default regular plan is displayed when checked on cart icon,03-Apr-21,09-Apr-21
12013,Option type does not change for schemes when checked on cart icon ,03-Apr-21,09-Apr-21
12009,Multicap scheme name should be changed to flexicap ,03-Apr-21,20-Apr-21
11994,Minimum amount displayed for short blast is 500,01-Apr-21,14-Apr-21
11993,First letter is small for every frequency ,01-Apr-21,14-Apr-21
11992,End date does not change lumpsum,01-Apr-21,05-Apr-21
11991,Two buttons are displayed for new investor kyc pan sip ,01-Apr-21,29-Apr-21
11990,Back button to be removed,01-Apr-21,22-Apr-21
11951,Only net banking page is displayed ,01-Apr-21,16-Apr-21
11949,UTR number input field missing in cart ,01-Apr-21,16-Apr-21
11928,Date filter not working for systematic transactions,01-Apr-21,06-Aug-21
11915,Pan accepted for minor nominee is invalid sip ,01-Apr-21,22-Apr-21
11833,.On postlogin header and footer part is displayed in order summary page ,26-Mar-21,27-Apr-21
11831,After order summary there should be navigation button present ,26-Mar-21,20-Apr-21
11830,For minor nominee guardian pan should be asked on sip,26-Mar-21,01-Apr-21
11829,Guardian pan details should be prefilled ,26-Mar-21,01-Apr-21
11720,Frequencies are not displayed acc.to installments,24-Mar-21,
11671,Transaction date and time is displayed wrong sell,24-Mar-21,30-Mar-21
11642,Set booster field should not be displayed if no booster instruction is set.,23-Mar-21,30-Mar-21
11641,URN number should not be displayed if transaction is failed,23-Mar-21,18-May-21
11583,Confirmation Successful page displays incorrect values,08-Mar-21,06-May-21
